ada,,'~\b,\b~',"'~\bada\b~',"
mempersiapkan,,,,"'~\bmempersiapkan\b~',"
mempersoalkan,,,,"'~\bmempersoalkan\b~',"
mempertanyakan,,,,"'~\bmempertanyakan\b~',"
mempunyai,,,,"'~\bmempunyai\b~',"
memulai,,,,"'~\bmemulai\b~',"
memungkinkan,,,,"'~\bmemungkinkan\b~',"
menaiki,,,,"'~\bmenaiki\b~',"
menambahkan,,,,"'~\bmenambahkan\b~',"
menandaskan,,,,"'~\bmenandaskan\b~',"
menanti,,,,"'~\bmenanti\b~',"
menanti-nanti,,,,"'~\bmenanti-nanti\b~',"
menantikan,,,,"'~\bmenantikan\b~',"
menanya,,,,"'~\bmenanya\b~',"
menanyai,,,,"'~\bmenanyai\b~',"
menanyakan,,,,"'~\bmenanyakan\b~',"
mendapat,,,,"'~\bmendapat\b~',"
mendapatkan,,,,"'~\bmendapatkan\b~',"
mendatang,,,,"'~\bmendatang\b~',"
mendatangi,,,,"'~\bmendatangi\b~',"
mendatangkan,,,,"'~\bmendatangkan\b~',"
menegaskan,,,,"'~\bmenegaskan\b~',"
mengakhiri,,,,"'~\bmengakhiri\b~',"
mengapa,,,,"'~\bmengapa\b~',"
mengatakan,,,,"'~\bmengatakan\b~',"
mengatakannya,,,,"'~\bmengatakannya\b~',"
mengenai,,,,"'~\bmengenai\b~',"
mengerjakan,,,,"'~\bmengerjakan\b~',"
mengetahui,,,,"'~\bmengetahui\b~',"
menggunakan,,,,"'~\bmenggunakan\b~',"
menghendaki,,,,"'~\bmenghendaki\b~',"
mengibaratkan,,,,"'~\bmengibaratkan\b~',"
mengibaratkannya,,,,"'~\bmengibaratkannya\b~',"
mengingat,,,,"'~\bmengingat\b~',"
mengingatkan,,,,"'~\bmengingatkan\b~',"
menginginkan,,,,"'~\bmenginginkan\b~',"
mengira,,,,"'~\bmengira\b~',"
mengucapkan,,,,"'~\bmengucapkan\b~',"
mengucapkannya,,,,"'~\bmengucapkannya\b~',"
mengungkapkan,,,,"'~\bmengungkapkan\b~',"
menjadi,,,,"'~\bmenjadi\b~',"
menjawab,,,,"'~\bmenjawab\b~',"
menjelaskan,,,,"'~\bmenjelaskan\b~',"
menuju,,,,"'~\bmenuju\b~',"
menunjuk,,,,"'~\bmenunjuk\b~',"
menunjuki,,,,"'~\bmenunjuki\b~',"
menunjukkan,,,,"'~\bmenunjukkan\b~',"
